x,y,R
0,0,10000
0.5,0,10000
1,0,10000
1.5,0,10000
2,0,10000
2.5,0,10000
3,0,10000
3.5,0,10000
4,0,10000
4.5,0,10000
5,0,-9.125
5.5,0,-9.125
5.9992,-0.0274,-9.125
6.4963,-0.0821,-9.125
6.9895,-0.1639,-9.125
7.4775,-0.2726,-9.125
7.9589,-0.4079,-9.125
8.4321,-0.5693,-9.125
8.8958,-0.7564,-9.125
9.3485,-0.9687,-9.125
9.7889,-1.2054,-9.125
10.2157,-1.4658,-9.125
10.6276,-1.7493,-9.125
11.0234,-2.0549,-9.125
11.4018,-2.3817,-9.125
11.7618,-2.7287,-9.125
12.1022,-3.0949,-9.125
12.422,-3.4792,-9.125
12.7203,-3.8805,-9.125
12.9962,-4.2975,-9.125
13.2488,-4.729,-9.125
13.4775,-5.1736,-9.125
13.6814,-5.6302,-9.125
13.86,-6.0972,-9.125
14.0128,-6.5733,-9.125
14.1393,-7.057,-9.125
14.2391,-7.5469,-9.125
14.3119,-8.0416,-9.125
14.3575,-8.5395,-9.125
14.3758,-9.0392,-9.125
14.3666,-9.5391,-9.125
14.3302,-10.0378,-9.125
14.2664,-10.5337,-9.125
14.1756,-11.0254,-9.125
14.058,-11.5114,-9.125
13.914,-11.9902,-9.125
13.7439,-12.4604,-9.125
13.5484,-12.9205,-9.125
13.3279,-13.3693,-9.125
13.0832,-13.8053,-9.125
12.815,-14.2273,-9.125
12.5241,-14.634,-9.125
12.2113,-15.0241,-9.125
11.8777,-15.3965,-9.125
11.5242,-15.75,-9.125
11.1518,-16.0837,-9.125
10.7617,-16.3965,-9.125
10.3551,-16.6874,-9.125
9.9331,-16.9557,-9.125
9.4971,-17.2004,-9.125
9.0483,-17.4209,-9.125
8.5881,-17.6164,-9.125
8.118,-17.7865,-9.125
7.6392,-17.9306,-9.125
7.1532,-18.0482,-9.125
6.6615,-18.139,-9.125
6.1656,-18.2028,-9.125
5.6669,-18.2393,-9.125
5.167,-18.2485,-9.125
4.6674,-18.2302,-9.125
4.1694,-18.1847,-9.125
3.6748,-18.1119,-9.125
3.1848,-18.0121,-9.125
2.7011,-17.8857,-9.125
2.225,-17.7329,-9.125
1.758,-17.5543,-9.125
1.3014,-17.3504,-9.125
0.8567,-17.1218,-9.125
0.4252,-16.8692,-9.125
0.0082,-16.5934,-9.125
-0.393,-16.2951,-9.125
-0.7774,-15.9752,-9.125
-1.1436,-15.6349,-9.125
-1.4907,-15.2749,-9.125
-1.8175,-14.8965,-9.125
-2.1231,-14.5008,-9.125
-2.4066,-14.0889,-9.125
-2.6671,-13.6621,-9.125
-2.9038,-13.2217,-9.125
-3.1161,-12.769,-9.125
-3.3032,-12.3054,-9.125
-3.4647,-11.8321,-9.125
-3.6,-11.3508,-9.125
-3.7087,-10.8628,-9.125
-3.7906,-10.3695,-9.125
-3.8453,-9.8725,-9.125
-3.8727,-9.3733,-9.125
-3.8727,-8.8733,-9.125
-3.8454,-8.374,-9.125
-3.7907,-7.877,-9.125
-3.7089,-7.3837,-9.125
-3.6002,-6.8957,-9.125
-3.465,-6.4143,-9.125
-3.3036,-5.9411,-9.125
-3.1165,-5.4774,-9.125
-2.9043,-5.0247,-9.125
-2.6676,-4.5843,-9.125
-2.4072,-4.1574,-9.125
-2.1238,-3.7455,-9.125
-1.8182,-3.3498,-9.125
-1.4914,-2.9713,-9.125
-1.1444,-2.6113,-9.125
-0.7782,-2.2709,-9.125
-0.3939,-1.9511,-9.125
0.0073,-1.6527,-9.125
0.4243,-1.3768,-9.125
0.8558,-1.1241,-9.125
1.3004,-0.8955,-9.125
1.7569,-0.6915,-9.125
2.2239,-0.5129,-9.125
2.7,-0.3601,-9.125
3.1837,-0.2336,-9.125
3.6737,-0.1337,-9.125
4.1683,-0.0609,-9.125
4.6663,-0.0153,-9.125
5.1659,0.003,-9.125
5.6658,-0.0061,-9.125
6.1645,-0.0425,-9.125
6.6604,-0.1062,-9.125
7.1521,-0.197,-9.125
7.6381,-0.3146,-9.125
8.1169,-0.4586,-9.125
8.5871,-0.6286,-9.125
9.0473,-0.8241,-9.125
9.4961,-1.0445,-9.125
9.9322,-1.2892,-9.125
10.3541,-1.5574,-9.125
10.7608,-1.8483,-9.125
11.1509,-2.161,-9.125
11.5234,-2.4946,-9.125
11.8769,-2.8482,-9.125
12.2106,-3.2205,-9.125
12.5234,-3.6106,-9.125
12.8144,-4.0172,-9.125
13.0827,-4.4391,-9.125
13.3274,-4.8752,-9.125
13.5479,-5.3239,-9.125
13.7435,-5.7841,-9.125
13.9136,-6.2542,-9.125
14.0577,-6.733,-9.125
14.1754,-7.219,-9.125
14.2662,-7.7107,-9.125
14.33,-8.2066,-9.125
14.3666,-8.7052,-9.125
14.3758,-9.2051,-9.125
14.3576,-9.7048,-9.125
14.312,-10.2027,-9.125
14.2393,-10.6974,-9.125
14.1395,-11.1874,-9.125
14.0131,-11.6711,-9.125
13.8604,-12.1472,-9.125
13.6818,-12.6143,-9.125
13.4779,-13.0708,-9.125
13.2494,-13.5155,-9.125
12.9968,-13.947,-9.125
12.7209,-14.364,-9.125
12.4227,-14.7653,-9.125
12.1029,-15.1497,-9.125
11.7625,-15.516,-9.125
11.4026,-15.863,-9.125
11.0242,-16.1899,-9.125
10.6285,-16.4955,-9.125
10.2167,-16.779,-9.125
9.7899,-17.0395,-9.125
9.3495,-17.2763,-9.125
8.8968,-17.4886,-9.125
8.4332,-17.6757,-9.125
7.9599,-17.8372,-9.125
7.4786,-17.9726,-9.125
6.9906,-18.0813,-9.125
6.4973,-18.1632,-9.125
6.0003,-18.218,-9.125
5.5011,-18.2454,-9.125
5.0011,-18.2455,-9.125
4.5018,-18.2181,-9.125
4.0048,-18.1635,-9.125
3.5116,-18.0818,-9.125
3.0235,-17.9731,-9.125
2.5421,-17.8379,-9.125
2.0689,-17.6765,-9.125
1.6052,-17.4894,-9.125
1.1525,-17.2773,-9.125
0.712,-17.0406,-9.125
0.2852,-16.7802,-9.125
-0.1267,-16.4968,-9.125
-0.5225,-16.1913,-9.125
-0.901,-15.8645,-9.125
-1.261,-15.5175,-9.125
-1.6014,-15.1513,-9.125
-1.9213,-14.7671,-9.125
-2.2197,-14.3658,-9.125
-2.4956,-13.9489,-9.125
-2.7483,-13.5174,-9.125
-2.977,-13.0728,-9.125
-3.181,-12.6163,-9.125
-3.3597,-12.1493,-9.125
-3.5125,-11.6732,-9.125
-3.639,-11.1895,-9.125
-3.7389,-10.6996,-9.125
-3.8117,-10.2049,-9.125
-3.8574,-9.707,-9.125
-3.8757,-9.2073,-9.125
-3.8667,-8.7074,-9.125
-3.8303,-8.2088,-9.125
-3.7666,-7.7128,-9.125
-3.6758,-7.2211,-9.125
-3.5583,-6.7351,-9.125
-3.4143,-6.2563,-9.125
-3.2443,-5.7861,-9.125
-3.0488,-5.3259,-9.125
-2.8284,-4.8771,-9.125
-2.5838,-4.441,-9.125
-2.3156,-4.019,-9.125
-2.0248,-3.6123,-9.125
-1.7121,-3.2222,-9.125
-1.3785,-2.8498,-9.125
-1.025,-2.4961,-9.125
-0.6526,-2.1624,-9.125
-0.2626,-1.8496,-9.125
0.144,-1.5586,-9.125
0.566,-1.2903,-9.125
1.0019,-1.0456,-9.125
1.4507,-0.825,-9.125
1.9108,-0.6294,-9.125
2.381,-0.4593,-9.125
2.8598,-0.3151,-9.125
3.3457,-0.1975,-9.125
3.8374,-0.1066,-9.125
4.3333,-0.0427,-9.125
4.832,-0.0062,-9.125
5.3319,0.0031,9.125
5.8315,-0.0151,9.125
6.3315,-0.0059,9.125
6.8301,0.0307,9.125
7.326,0.0945,9.125
7.8177,0.1854,9.125
8.3037,0.3031,9.125
8.7824,0.4472,9.125
9.2526,0.6173,9.125
9.7127,0.813,9.125
10.1615,1.0335,9.125
10.5975,1.2783,9.125
11.0194,1.5466,9.125
11.426,1.8375,9.125
11.816,2.1504,9.125
12.1884,2.4841,9.125
12.5419,2.8377,9.125
12.8755,3.2101,9.125
13.1882,3.6003,9.125
13.4791,4.007,9.125
13.7472,4.429,9.125
13.9919,4.865,9.125
14.2123,5.3138,9.125
14.4077,5.774,9.125
14.5777,6.2443,9.125
14.7217,6.7231,9.125
14.8393,7.2091,9.125
14.93,7.7008,9.125
14.9937,8.1967,9.125
15.0301,8.6954,9.125
15.0392,9.1953,9.125
15.0208,9.6949,9.125
14.9752,10.1929,9.125
14.9023,10.6875,9.125
14.8025,11.1774,9.125
14.6759,11.6612,9.125
14.5231,12.1372,9.125
14.3444,12.6042,9.125
14.1404,13.0607,9.125
13.9117,13.5054,9.125
13.659,13.9368,9.125
13.3831,14.3538,9.125
13.0847,14.755,9.125
12.7649,15.1393,9.125
12.4244,15.5055,9.125
12.0644,15.8524,9.125
11.686,16.1792,9.125
11.2902,16.4847,9.125
10.8782,16.7681,9.125
10.4514,17.0286,9.125
10.011,17.2652,9.125
9.5582,17.4774,9.125
9.0945,17.6644,9.125
8.6213,17.8258,9.125
8.1399,17.961,9.125
7.6519,18.0697,9.125
7.1586,18.1514,9.125
6.6616,18.2061,9.125
6.1623,18.2334,9.125
5.6623,18.2333,9.125
5.1631,18.2059,9.125
4.6661,18.1511,9.125
4.1728,18.0693,9.125
3.6848,17.9605,9.125
3.2035,17.8252,9.125
2.7303,17.6637,9.125
2.2666,17.4765,9.125
1.8139,17.2642,9.125
1.3735,17.0275,9.125
0.9468,16.7669,9.125
0.5349,16.4834,9.125
0.1392,16.1778,9.125
-0.2392,15.851,9.125
-0.5991,15.5039,9.125
-0.9395,15.1376,9.125
-1.2593,14.7533,9.125
-1.5575,14.352,9.125
-1.8334,13.9349,9.125
-2.0859,13.5034,9.125
-2.3145,13.0587,9.125
-2.5184,12.6022,9.125
-2.697,12.1352,9.125
-2.8497,11.6591,9.125
-2.9761,11.1753,9.125
-3.0758,10.6853,9.125
-3.1486,10.1907,9.125
-3.1941,9.6927,9.125
-3.2123,9.1931,9.125
-3.2032,8.6932,9.125
-3.1666,8.1945,9.125
-3.1028,7.6986,9.125
-3.0119,7.2069,9.125
-2.8943,6.721,9.125
-2.7502,6.2422,9.125
-2.5801,5.772,9.125
-2.3845,5.3118,9.125
-2.164,4.8631,9.125
-1.9192,4.4271,9.125
-1.651,4.0051,9.125
-1.36,3.5985,9.125
-1.0472,3.2085,9.125
-0.7135,2.8361,9.125
-0.3599,2.4826,9.125
0.0125,2.1489,9.125
0.4026,1.8362,9.125
0.8093,1.5453,9.125
1.2313,1.2771,9.125
1.6673,1.0325,9.125
2.1161,0.812,9.125
2.5763,0.6165,9.125
3.0465,0.4465,9.125
3.5253,0.3025,9.125
4.0113,0.1849,9.125
4.503,0.0942,9.125
4.9989,0.0304,9.125
5.4976,-0.006,9.125
5.9975,-0.0151,9.125
6.4972,0.0032,9.125
6.9951,0.0488,9.125
7.4897,0.1217,9.125
7.9797,0.2215,9.125
8.4634,0.348,9.125
8.9395,0.5008,9.125
9.4065,0.6795,9.125
9.863,0.8834,9.125
10.3076,1.1121,9.125
10.7391,1.3647,9.125
11.1561,1.6406,9.125
11.5573,1.939,9.125
11.9416,2.2588,9.125
12.3078,2.5993,9.125
12.6548,2.9593,9.125
12.9816,3.3377,9.125
13.2872,3.7335,9.125
13.5706,4.1454,9.125
13.8311,4.5722,9.125
14.0677,5.0126,9.125
14.2799,5.4654,9.125
14.467,5.929,9.125
14.6284,6.4023,9.125
14.7637,6.8836,9.125
14.8724,7.3717,9.125
14.9541,7.8649,9.125
15.0088,8.3619,9.125
15.0362,8.8612,9.125
15.0361,9.3612,9.125
15.0087,9.8604,9.125
14.954,10.3574,9.125
14.8721,10.8507,9.125
14.7634,11.3387,9.125
14.6281,11.8201,9.125
14.4666,12.2933,9.125
14.2795,12.7569,9.125
14.0672,13.2097,9.125
13.8305,13.6501,9.125
13.57,14.0768,9.125
13.2865,14.4887,9.125
12.9809,14.8845,9.125
12.6541,15.2629,9.125
12.3071,15.6228,9.125
11.9408,15.9632,9.125
11.5565,16.283,9.125
11.1552,16.5813,9.125
10.7382,16.8571,9.125
10.3067,17.1098,9.125
9.862,17.3384,9.125
9.4055,17.5423,9.125
8.9385,17.7209,9.125
8.4624,17.8736,9.125
7.9786,18.0001,9.125
7.4887,18.0998,9.125
6.994,18.1726,9.125
6.4961,18.2182,9.125
5.9964,18.2364,9.125
5.4965,18.2273,9.125
4.9978,18.1907,9.125
4.5019,18.127,9.125
4.0102,18.0361,9.125
3.5243,17.9185,9.125
3.0455,17.7744,9.125
2.5753,17.6044,9.125
2.1151,17.4088,9.125
1.6663,17.1883,9.125
1.2303,16.9436,9.125
0.8084,16.6754,9.125
0.4017,16.3844,9.125
0.0116,16.0716,9.125
-0.3607,15.738,9.125
-0.7143,15.3844,9.125
-1.0479,15.012,9.125
-1.3607,14.6219,9.125
-1.6516,14.2153,9.125
-1.9198,13.7933,9.125
-2.1645,13.3572,9.125
-2.385,12.9085,9.125
-2.5805,12.4483,9.125
-2.7505,11.9781,9.125
-2.8946,11.4993,9.125
-3.0122,11.0133,9.125
-3.103,10.5216,9.125
-3.1667,10.0257,9.125
-3.2032,9.527,9.125
-3.2123,9.0271,9.125
-3.1941,8.5275,9.125
-3.1485,8.0295,9.125
-3.0756,7.5349,9.125
-2.9759,7.0449,9.125
-2.8494,6.5612,9.125
-2.6966,6.0851,9.125
-2.518,5.6181,9.125
-2.314,5.1616,9.125
-2.0854,4.7169,9.125
-1.8328,4.2854,9.125
-1.5569,3.8684,9.125
-1.2586,3.4672,9.125
-0.9387,3.0829,9.125
-0.5983,2.7166,9.125
-0.2384,2.3696,9.125
0.14,2.0428,9.125
0.5358,1.7372,9.125
0.9477,1.4538,9.125
1.3745,1.1933,9.125
1.8149,0.9566,9.125
2.2676,0.7444,9.125
2.7313,0.5573,9.125
3.2045,0.3958,9.125
3.6859,0.2605,9.125
4.1739,0.1518,9.125
4.6672,0.07,9.125
5.1642,0.0153,10000
5.6634,-0.0121,10000
6.1627,-0.0394,10000
6.6619,-0.0668,10000
7.1612,-0.0942,10000
7.6604,-0.1216,10000
8.1597,-0.149,10000
8.6589,-0.1764,10000
9.1582,-0.2038,10000
9.6574,-0.2311,10000
